name,address,phone,official_site,facebook,instagram,linkedin,place_id_search
ClothBaba Women Wear Manufacturer,"Shop No. FF - 101/102, Rajhans - The Imperia, near Ring Road, Maan Darwaja, New Textile Market, Surat, Gujarat 395002, India",+91 63539 81813,https://www.clothbaba.com/,https://www.facebook.com/clothbaba/,https://www.instagram.com/clothbaba.india/?hl=en,N/A,ChIJU1tBBeFP4DsRTWNLaXKzPz8
"Zeel Clothing - a leading manufacturers, Wholesalers, Suppliers of Lehenga Choli, Sarees","First Floor, Navjivan Industrial Society, Plot No. 41, Vesu Canal Rd, near Unique Hospital, Laxmi Nagar, Udhana, Surat, Gujarat 395002, India",+91 96246 65566,http://zeelclothing.com/,https://www.facebook.com/zeelclothing/,https://www.instagram.com/zeelclothing/?hl=en,N/A,ChIJPXGtAuhO4DsRqjToUWfH9U4
Clothing Exporter,"Delhi Gate, 205 - Tower 2 , Shree Kuberji Textile Park, 2, Ring Rd, Surat, Gujarat 395003, India",+91 72650 10893,https://clothingexporter.com/,N/A,https://www.instagram.com/clothing_exporter/,https://in.linkedin.com/company/textile-export-india-pvt-ltd,ChIJz1bybn5P4DsRmcOZCW8mVec
Vijay Garments,"Shop No. 36, Rander Rd, Ramnagar, Sima Nagar, Surat, Gujarat 395005, India",+91 90162 35500,https://www.instagram.com/vijaygarments/,https://www.facebook.com/vijaygarmentsurat/,https://www.instagram.com/vijaygarments/?hl=en,N/A,ChIJ6W_kbD1M4DsRHuSWZ7V71Gc
The Vintage Garments,"Near, 2030-Silver Business Point, VIP Cir, Uttran, Surat, Gujarat 394105, India",+91 99132 99358,https://www.thevintagegarments.com/,N/A,https://www.instagram.com/thevintagegarments.official/,N/A,ChIJG_I-hO5P4DsReJvz7mU7hlM
Textile Export India Pvt Ltd,"shree Kuberji Textile Park, E-308, Ring Rd, behind Belgium Square, Near Delhi Gate, Begampura, Surat, Gujarat 395003, India",+91 90331 76505,https://www.textileexport.in/,https://www.facebook.com/textileexportindia/,https://www.instagram.com/textile_export_india/?hl=en,https://in.linkedin.com/company/textile-export-india-pvt-ltd,ChIJ0bK7u1FO4DsRS3EFI9lfOUs
Wholesale Catalog,"3rd floor, The Raj Imperia, 213, Ring Rd, nr. Udhna Darwaza, Maan Darwaja, New Textile Market, Surat, Gujarat 395002, India",+91 99137 86037,https://www.wholesalecatalog.in/,N/A,https://www.instagram.com/p/DMDCv2zTqPh/,N/A,ChIJ85i9O6tP4DsR7sK2_oS18Oc
Babosa Garments,"Metro Tower, U-35-A, Ring Rd, Maan Darwaja, New Textile Market, Surat, Gujarat 395002, India",+91 82002 62399,N/A,https://www.facebook.com/BABOSAGARMENTS/,https://www.instagram.com/babosagarments_kurta_house/,N/A,ChIJ9aRiXcxP4DsRCcJiuCqNpM8
Western Wear Manufacturer,"Plot No 16, Aai Mata Rd, near DR World, Amidhara Society, Bhagyoday Industrial Estate, Parvat Patiya, Surat, Gujarat 395010, India",+91 81600 37286,https://octics.com/,https://www.facebook.com/Tfunnyfashion8/,https://www.instagram.com/westernwear01_surat/?hl=en,N/A,ChIJNypUEN5P4DsRoAqgObZWaF4
Bansal Textile Agency Surat ( Since -2006 ),"J- 801, INDIA TEXTILE MARKET, near GEETHA RESTORENT, Ring Road, Surat, Gujarat 395003, India",N/A,N/A,N/A,N/A,N/A,ChIJOd6T5dJP4DsRtWUeBj0aunc
